epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3053.89,2.03509,4.12656,1.52417,0.38539,0.15828,0.1323,0.0817,1.41801,2.94236,1.14222,0.000110556,0.000110556,0.000110556
2,5322.72,1.50991,2.72899,1.17215,0.53555,0.32386,0.36636,0.23784,1.26968,1.90974,1.08671,0.000111886,0.000111886,0.000111886
